Influenza-like illness (ICD9 487) first (F) and new (N) episodes,,,,,,,,,,
"Weekly incidence rates per 100,000 ",,,,,,,,,,
,,,,,,,,,,
Year,Week,Total,<1,1-4,5-14,15-24,25-44,45-64,65-74,75+
,18,8.37,0,2.37,3.76,4.56,13.59,8.98,5.5,7.36
,19,4.72,0,0,1.87,6.35,6.81,4.24,4.09,4.41
,20,4.77,0,2.29,1.8,5.25,7.65,4.11,2.67,4.29
,21,5.76,0,2.26,2.67,5.18,7.93,5.68,6.55,5.64
,22,3.2,0,0,1.81,1.76,5.5,3.73,2.68,0
,23,5.13,0,4.59,1.81,2.64,7.33,6.65,4.03,2.88
,24,2.8,0,0,1.83,3.54,4.44,2.91,1.35,0
,25,3.48,0,0,1.79,3.47,3.62,5.71,2.64,1.42
,26,3.35,0,2.25,0.89,1.72,4.32,4.05,7.84,0
,27,3.56,0,2.3,0.91,2.66,5.2,5.42,0,1.46
,28,2.45,0,0,2.73,2.64,3.31,1.24,1.33,5.7
,29,2.75,0,4.53,1.8,4.35,4.37,1.64,0,1.42
,30,1.92,0,4.57,0.91,0.87,2.94,1.65,2.66,0
,31,3.18,0,0,0,0.9,6.8,3.82,0,1.48
,32,2.15,0,0,0.96,4.6,2.74,0.87,2.84,3.08
,33,2.24,0,0,0.91,4.36,2.2,1.24,5.34,2.88
,34,2.04,0,2.41,0,3.71,3.5,1.33,0,1.54
,35,1.83,0,0,0,0.88,1.48,3.36,4.04,1.44
,36,1.88,0,0,0.95,1.82,1.53,2.57,2.75,2.97
,37,2.58,0,0,1.93,3.71,5.05,1.3,0,1.48
,38,3.81,0,0,2.9,10.19,4.66,2.59,2.75,0
,39,5.51,0,0,4.86,9.25,8.18,3.47,5.51,1.48
,40,6.38,0,2.45,1.95,9.35,9.46,6.16,2.81,4.54
,41,7.02,0,2.4,6.74,11.96,8.88,6,4.11,2.95
,42,8.28,0,2.5,7.06,8.58,12.4,5.89,5.82,9.27
,43,8.42,20,4.76,2.87,12.8,11.88,7.25,4.1,5.85
,44,6.42,10,2.38,0.96,7.32,9.2,5.54,9.56,4.39
,45,9.75,0,2.38,3.83,10.08,11.89,11.51,13.64,5.85
,46,10.41,0,16.66,3.83,10.98,13.04,9.38,9.54,11.7
,47,13.19,10.4,4.97,8,20,17.67,11.13,11.38,7.65
,48,17.78,0,26.43,15.45,19.45,21.28,20.64,5.52,5.93
,49,27.84,20.18,31.42,25.29,47.58,28.02,27.33,16.73,11.99
,50,40.84,0,40.85,31.87,49.21,60.78,34.39,23.45,11.86
,51,68.29,30.52,58.33,49.78,80.38,80.63,76.3,48.85,34.78
,52,41.22,0,34.73,28.9,35.32,51.03,43.1,44.18,32.23
2009,1,49.21,11,44.36,16.83,45.48,45.44,63.22,66.05,61.57
,2,42.48,19.75,18.54,11.25,50.3,45.47,58.38,40.41,32.18
,3,28.82,20.07,4.7,11.37,20.85,33.86,37.03,38.81,26.07
,4,16.54,0,7.05,11.37,18.12,18.26,20.62,10.7,15.94
,5,14.14,0,4.65,10.33,17.04,17.35,14.62,12,11.59
,6,7.99,0,2.39,5.84,10.21,8.53,8.69,11.14,4.52
,7,7.38,0,0,6.55,13.38,9.77,4.61,6.68,5.79
,8,7.22,0,6.95,5.66,4.5,12.47,5.91,1.35,5.87
,9,6.49,0,2.31,0,9.83,9.76,6.23,5.29,4.31
,10,7.03,9.85,4.62,2.81,10.73,8.26,7.48,7.92,1.43
,11,6.31,0,2.32,5.65,8.1,7.93,7.52,1.33,2.88
,12,5.81,0,4.67,4.74,5.43,8,5.89,2.67,4.35
,13,3.33,0,0,2.88,3.67,5.38,2.57,4.09,0
,14,4.29,10.09,4.71,0.95,6.38,7.28,3.38,1.34,0
,15,3.88,0,7.06,1.92,4.58,5.37,3.41,4.06,0
,16,2.53,0,0,0,5.46,2.3,3.38,2.68,1.46
,17,4.12,0,2.37,0.96,7.35,3.86,5.14,4.08,2.96
,18,9.28,0,0,2.87,9.11,13.03,11.06,5.4,10.29
,19,13.71,20.67,2.41,4.9,24.28,18.48,13.06,8.32,6.06
,20,10,0,5.18,11.5,12.92,12.35,9.62,5.75,4.71
,21,7.35,0,0,5.71,7.25,10.32,7.58,6.65,4.35
,22,4.97,0,2.35,0,9.1,5.77,5.93,4.01,2.92
,23,5.7,0,4.77,6.78,9.21,7.02,4.71,2.7,1.48
,24,6.33,0,6.99,2.85,5.42,11.41,5.02,5.26,0
,25,11.01,20.31,4.73,10.61,15.55,13.18,11.11,8.09,1.48
,26,26.82,10.13,40.3,53.41,28.46,33.06,17.63,9.47,4.45
,27,47.46,30.56,71.21,128.65,75.18,40.89,26.92,10.74,2.94
,28,70.83,61.05,125.83,151.84,109.05,75.94,36.74,14.75,13.23
,29,153.6,131.46,309.85,282.45,225.63,169.84,90.15,48.02,21.97
,30,135.41,280.46,275.78,177.05,194.85,169.71,79.17,52.27,24.1
,31,40.56,175.58,84.95,23.77,56.23,53.74,26.7,20.59,13.51
,32,32.29,91.58,52.65,18.6,53.64,42.45,24.22,13.55,7.42
,33,21.64,40.05,46.79,9.57,36.26,24.16,21.06,5.29,8.68
,34,15.82,20.64,19.36,6.93,16.85,24.26,15.3,6.86,4.52
,35,12.71,31.08,16.95,4.97,11.25,16.38,15.46,6.92,4.55
,36,8.87,0,7.13,5.85,10.17,12.92,10.34,0,2.99
,37,12.41,20.27,16.43,12.53,18.21,13.17,14.03,1.33,2.93
,38,16.17,10.17,18.74,21.2,32.78,12.39,15.72,5.33,8.79
,39,22.04,10.3,35.43,32.11,31.3,25.4,14.6,10.79,10.36
,40,26.04,10.35,21.27,41.99,39.73,27.82,21.99,9.47,10.41
,41,29.03,21.69,32.15,50.23,47.32,31.1,22.59,7.1,4.69
,42,37.63,20.93,62.17,61.97,50.36,43.25,26.38,14.83,10.4
,43,41.36,62.87,52.58,74.74,56.03,41.28,28.53,21.56,23.77
,44,37.81,71.98,61.15,65.02,39.63,41.46,27.35,17.34,19.12
,45,36.19,10.5,57.45,32.58,53.54,44.26,31.45,16.36,12.02
,46,36.01,63.31,45.77,54.62,50.99,38.75,26.2,17.66,17.91
,47,37.92,30.87,94.11,69.84,40.63,37.55,28.62,17.3,7.34
,48,38.68,135.35,138.02,72.75,30.86,36.04,25.16,10.83,10.46
,49,32.89,32.5,121.17,51.07,31.03,36.54,17.97,16.68,9.13
,50,29.31,10.73,78.57,33.41,26.02,42.04,18.29,12.45,9.13
,51,24.72,44.31,48.2,25.23,24,29.5,22.21,15.88,7.93
,52,13.18,45.36,25.85,12.77,10.14,16.75,9.81,11.55,6.35
,53,11.04,10.94,7.44,3.07,12.63,14.07,13.47,6.95,7.68
2010,1,19.57,0,10,5.16,15.69,24.22,29.52,15.49,9.32
,2,12.56,11.41,5.2,1.07,14.34,19.5,13.67,11.64,3.21
,3,12.38,10.97,12.55,10.34,7.86,15.55,15.46,9.87,3.13
,4,12.64,10.85,7.47,11.32,17.58,15.41,12.2,8.38,6.19
,5,12.07,10.55,4.85,9.02,12.41,17.82,9.68,9.51,10.51
,6,11.83,12.06,2.76,15.94,14.05,12.51,13.82,4.55,6.68
,7,7.97,21.16,0,3.02,10.53,8.97,11.03,8.17,0
,8,9.47,0,4.87,4.03,16.29,12.65,7.5,8.17,7.54
,9,5.98,0,2.42,6.02,3.82,8.92,6.59,5.43,0
,10,6.49,0,2.44,5.05,9.63,7.37,7.09,2.73,6.05
,11,7.73,10.71,2.48,4.08,4.84,12.03,9.39,6.88,0
,12,6.09,0,0,4.02,8.59,10.15,4.39,4.07,3
,13,4.06,0,2.53,0,4.94,6.79,4.55,1.4,1.55
,14,3.92,0,2.5,1.04,3.94,5.45,4.99,2.8,1.55
,15,5.65,0,0,0,5.89,10.8,6.29,1.38,1.52
,16,4.25,0,0,4.14,1.96,6.25,3.62,5.57,4.6
,17,3.33,0,0,3.12,5.92,4.18,2.73,0,4.65
,18,3.56,10.81,0,2.08,0,4.62,6.34,1.39,1.53
,19,3.88,0,2.49,2.07,3.93,5.82,4.93,0,1.52
,20,3.73,0,0,0,2.91,4.11,7.11,1.37,3.01
,21,2.39,0,0,1.05,3.99,2.54,2.74,2.81,1.55
,22,2.81,10.66,0,1.03,2.93,3.73,4.03,0,1.52
,23,2.28,0,0,0,2,2.54,3.66,2.82,1.55
,24,2.05,0,0,0,4.03,3.41,2.3,0,0
,25,1.68,0,2.53,2.11,1,2.12,0.46,4.22,1.54
,26,2,0,0,1.1,1.05,4.87,0.95,0,1.6
,27,2.02,0,0,1.11,2.11,4.45,0,4.44,0
,28,1.66,0,0,0,2.14,0.46,4.35,0,1.63
,29,1.71,0,0,0,1.02,4.33,0.47,1.43,1.56
,30,2.45,0,0,0,4.09,5.21,1.41,1.44,0
,31,1.57,0,0,1.06,1,2.57,1.84,1.42,0
,32,2.51,0,0,1.1,5.18,2.22,2.87,1.47,3.24
,33,2.65,0,0,0,5,4.7,1.38,2.83,1.55
,34,1.62,0,0,0,2.07,2.2,2.38,1.46,0
,35,2.32,0,2.68,0,2.12,2.26,3.47,1.53,3.34
,36,3.55,0,0,0,7.1,4.76,2.82,4.34,3.16
,37,3.18,0,0,1.08,1.01,6.05,3.28,1.44,3.15
,38,4.52,0,0,2.15,4.04,5.2,6.55,2.87,4.72
,39,4.65,22.14,2.57,2.14,8.09,5.64,4.66,1.44,1.58
,40,6.11,0,0,3.23,11.18,6.93,4.65,8.56,6.24
,41,8.57,0,0,5.38,8.14,9.98,10.74,8.62,7.86
,42,9.26,0,2.59,6.51,7.19,8.29,12.28,7.25,17.41
,43,8.82,10.91,0,4.31,14.32,10.8,6.09,5.78,17.32
,44,7.59,0,7.6,5.3,10.1,7.68,7.35,8.47,7.71
,45,7.72,10.94,2.56,8.62,10.26,9.94,6.55,2.89,6.3
,46,7.71,22.21,7.78,5.46,8.32,8.33,9.05,5.87,3.2
,47,11.39,11.11,10.27,22.7,13.39,13.47,6.98,7.14,4.68
,48,13.57,0,12.68,20.24,17.28,15.92,9.68,11.3,7.74
,49,31.63,21.55,47.41,48.31,37.05,44.46,20.9,11.16,3.05
,50,89.37,44.09,151.06,159.39,126.83,112.74,53.18,17.41,12.74
,51,120.24,66.82,206.6,144.81,137.34,150.64,107.96,43.98,25.67
,52,99.13,67.69,101.44,54.96,128.52,121.57,113.46,56.05,38.81
2011,1,102.31,44.8,69.94,53.67,143.51,129.86,120.54,45.5,38.68
,2,66.37,44.64,77.39,54.39,73.39,73.67,78,50.83,20.76
,3,38.54,22.66,58.02,33.35,49.87,51.06,32.19,19.23,16.27
,4,23.18,11.25,31.3,26.66,26.3,28.24,23.02,7.34,9.72
,5,22.59,0,18.22,25.39,24.1,30.72,22.96,8.83,6.47
,6,18.13,11.18,36.47,23.1,15.63,26.3,13.78,2.91,6.42
,7,11.2,0,2.65,10.09,10.63,14.99,9.67,16.34,6.52
,8,8.43,0,10.88,3.48,9.87,10.26,6.54,15.51,5.11
,9,7.32,0,0,2.25,5.33,14.18,6.85,3.02,4.99
,10,7.46,33.3,2.58,4.38,6.21,9.29,7.57,8.74,4.81
,11,7.1,11.14,10.33,4.38,11.41,7.54,7.58,2.91,3.2
,12,5.55,0,0,9.3,6.58,9.37,2.53,4.69,0
,13,7.84,0,5.23,4.45,7.37,8.08,13.49,2.97,1.63
,14,4.35,0,5.16,4.38,4.15,6.65,3.79,1.45,1.6
,15,4.89,11.39,0,6.81,5.35,5.48,3.93,6.04,3.31
,16,2.86,0,0,2.29,4.35,4.16,1.98,3.04,1.66
,17,2.6,0,0,1.2,1.14,4.85,2.62,3.21,0
,18,3.04,0,2.61,0,5.28,3.14,3.38,4.45,1.62
,19,1.84,23.65,0,0,1.1,3.28,2.01,0,0
,20,1.95,0,0,1.14,1.08,4.62,0.99,1.52,0
,21,4.53,0,5.34,2.28,4.33,8.75,2.47,3.02,1.65
,22,3.12,11.64,0,0,1.09,5.1,4.95,1.52,0
,23,3.38,0,0,0,5.64,3.84,3.62,3.15,5.17
,24,1.56,0,0,0,4.34,2.77,0.5,0,1.66
,25,3.07,0,5.49,3.53,2.23,2.84,4.07,3.12,0
,26,1.9,0,2.78,0,4.54,1.44,2.6,1.6,0
,27,1.48,0,0,1.19,3.38,1.44,1.54,1.56,0
,28,2.77,0,0,0,3.46,4.4,3.71,0,1.76
,29,1.82,0,2.89,0,2.34,2.5,1.6,0,3.55
,30,2.07,0,2.85,0,4.61,1.47,3.15,0,1.75
,31,1.84,0,0,0,2.57,2.2,2.91,1.78,0
,32,3.04,0,0,0,5.52,4.71,3.53,1.53,0
,33,2.45,0,0,0,4.53,1.45,3.63,3.17,3.47
,34,2.2,0,2.84,0,1.14,3.42,3.15,0,1.75
,35,2.68,12.61,0,1.25,2.35,1.51,3.23,3.27,7.19
,36,2.33,0,0,0,2.29,3.41,3.15,1.6,1.76
,37,3.75,0,0,0,4.62,4.45,5.84,3.22,1.77
,38,3.3,0,2.84,2.44,1.15,6.35,2.63,0,3.52
,39,4.38,0,5.66,3.63,3.41,6.83,4.72,1.59,0
,40,5.07,0,3.01,2.58,9.7,6.19,4.98,1.66,3.66
,41,6.18,0,0,6.94,9.1,6.01,8.26,3.54,1.95
,42,5.97,0,3.25,2.81,3.97,8.94,7.18,5.4,1.99
,43,8.44,0,3.07,1.33,8.72,12.66,7.89,11.83,5.59
,44,7.02,0,3.03,3.94,7.41,10.93,7.24,5.01,1.84
,45,8.05,0,9.22,4.01,6.3,13.73,8.54,1.71,1.88
,46,8.35,0,0,5.37,6.3,10.61,11.35,5.09,7.51
,47,9.21,0,9.08,10.5,6.19,12.48,8.92,0,12.89
,48,9.07,0,21.83,5.41,6.37,10.21,10.38,5.2,7.67
,49,9.17,0,9.6,4.17,7.84,14.87,8.92,3.57,5.91
,50,5.54,0,6.36,0,3.9,6.02,7.61,8.75,3.88
,51,9.52,0,0,6.78,8.93,11.78,12.14,8.63,5.73
,52,7.33,0,3.66,1.6,2.99,8.97,7.49,12.19,13.56
2012,1,10.12,0,0,4.08,5.11,17.68,12.7,6.87,1.9
,2,7.46,0,6.26,1.37,6.44,13.96,5.25,8.67,1.92
,3,6.23,0,0,2.74,5.13,10.72,6.41,5.2,1.92
,4,7.39,0,0,5.67,11.9,9.38,6.66,7.22,4.02
,5,9.84,0,3.18,9.84,9.23,15.37,8.44,7.15,3.99
,6,14.71,27.02,25.03,12.41,14.26,20.99,14.16,5.26,0
,7,19.31,0,43.4,22.62,22.43,20.46,14.64,12.55,16.24
,8,17.42,14.78,24.08,13.79,17.22,22.95,17.01,11.63,6.51
,9,15.07,13.68,15.9,12.7,7.97,20.26,19.43,5.43,6.04
,10,12.77,0,6.26,15.24,10.42,19.94,7.13,14.11,9.84
,11,14.48,0,22.52,15.71,17.46,19.4,12.94,5.51,2.06
,12,9.35,13.63,9.47,12.59,6.58,10.91,11.44,3.58,2.01
,13,8.78,27.79,19.26,4.29,5.38,12.24,8.66,3.69,4.13
,14,6.07,0,3.37,3.02,7.46,9.34,5.86,5.81,0
,15,5.31,0,6.52,1.45,5.44,6.75,5.6,3.68,6.2
,16,4.82,0,3.24,1.45,2.72,5.04,8.1,5.52,2.07
,17,4.64,14.21,0,5.97,4.2,4.02,5.17,5.72,4.27
,18,6.21,0,3.28,1.47,5.52,10.23,7.61,1.88,2.12
,19,5.22,0,3.31,4.41,4.16,7.95,5.69,1.86,2.09
,20,7.05,0,3.31,8.85,8.32,10.85,5.73,3.76,0
,21,3.52,0,0,2.87,4.07,7.29,1.86,1.82,0
,22,3.56,0,6.84,3.03,2.86,5.93,3.29,0,0
,23,2.34,0,3.37,0,0,5.27,1.95,0,2.17
,24,3.15,0,0,0,4.2,4.06,5.15,0,2.15
,25,3.06,0,3.42,1.53,7.18,4.11,2.66,0,0
,26,2.18,0,0,3.29,1.54,1.89,3.55,2.09,0
,27,2.89,0,0,1.75,1.64,5.38,3.74,0,0
,28,3.98,0,0,3.59,5.05,5.5,3.89,0,5.11
,29,2.97,0,0,0,3.35,4.79,3.1,4.51,0
,30,3.41,17.16,0,1.82,6.81,3.48,3.91,2.28,0
,31,2,0,0,0,3.37,1.4,2.32,6.77,0
,32,1.66,0,0,0,5.31,2.14,1.61,0,0
,33,2.03,0,0,1.85,5.2,2.11,2.37,0,0
,34,2.03,0,0,2.05,1.9,1.56,4.43,0,0
,35,1.22,0,0,1.84,0,2.82,0,2.28,0
,36,1.8,0,0,1.81,3.39,0.69,2.34,2.27,2.57
,37,2.67,0,0,1.86,0,5.77,3.18,0,0
,38,3.15,0,0,1.91,0,4.37,4.09,2.37,5.33
,39,3.88,0,0,1.86,5.2,4.99,3.97,0,7.8
,40,4.43,17.92,4.28,1.91,8.87,5.86,3.3,2.38,0
,41,5.18,0,0,3.75,12.18,6.47,4.86,0,2.67
,42,6.94,0,9.02,0,5.39,9.24,9.24,4.75,5.52
,43,4.26,0,0,0,7.47,4.04,4.32,12.07,0
,44,4.42,0,0,0,6.15,7.14,6.58,0,0
,45,4.52,0,0,0,11.23,5.75,4.34,0,5.64
,46,6.7,0,0,2.15,7.84,11.5,4.57,5.11,8.87
,47,7.8,0,4.97,8.51,9.7,7.02,9,10,2.91
,48,9.52,0,22.48,16.85,6.53,10.76,8.05,0,9.62
,49,13.84,0,10.95,30.14,8.46,19.11,7.76,16.05,3.11
,50,23.42,0,34.7,46.87,15.72,27.24,21.78,8.59,9.9
,51,29.37,0,41.52,40.98,20.83,36.01,32.08,17.61,6.75
,52,30.05,0,58.02,42.74,14.37,38.26,25.68,26.34,15.36
2013,1,28.53,22.1,10.16,8.59,5.93,42.29,43.53,17.51,20.39
,2,25.26,0,10.34,8.83,28.2,35.69,29.79,12.84,20.96
,3,13.6,0,16.75,4.85,16.94,17.02,16.4,11.34,3.31
,4,10.81,0,5.65,4.86,10.98,15.03,15.46,5.71,0
,5,12.72,0,10.67,11.45,10.42,20.77,10.64,13.35,0
,6,13.76,0,10.89,9.34,12.71,22.12,16.8,2.74,0
,7,21.35,0,26.67,18.32,18.73,30.21,21.27,8,15.76
,8,15.87,0,5.59,9.74,15.37,18.78,25.76,5.7,3.36
,9,14.84,0,0,7.01,25.58,23.15,13.89,8.22,3.24
,10,16.37,0,10.88,14,12.75,23.13,21.74,2.73,6.48
,11,10.91,0,0,7,10.63,14.47,12.85,0,19.43
,12,11.55,0,5.54,11.96,11.98,18.8,11.12,5.54,0
,13,6.96,0,11.8,2.51,9.16,10.35,6.35,2.9,3.43
,14,6.05,0,0,0,0,9.79,8.01,5.5,9.77
,15,5.37,0,5.57,0,4.39,6.95,9.24,2.84,0
,16,5.27,0,0,0,4.37,10.79,4.99,2.73,3.21
,17,5.28,0,0,2.47,0,8.2,7.33,8.65,0
,18,3.93,0,0,2.49,4.62,2.14,5.27,11.52,0
,19,5.26,0,6.04,0,9.63,5.52,5.54,9.05,0
,20,3.23,0,6.75,2.92,5.36,2.43,0,3.31,11.61
,21,3.11,0,0,0,2.55,5.83,1.18,0,11.63
,22,1.95,0,0,2.94,0,1.21,4.92,0,0
,23,0.95,0,0,0,0,3.55,0,0,0
,24,1.65,0,0,0,0,1.22,5.02,0,0
,25,4.65,0,0,2.99,8.26,6.2,5.04,0,4.04
,26,1.87,0,0,0,3.01,2.86,2.84,0,0
,27,1.56,0,0,0,0,4.33,0,4.05,0
,28,0.78,0,0,0,0,1.44,1.5,0,0
,29,0.41,0,0,0,0,1.52,0,0,0
,30,0.87,0,0,0,3.55,0,1.68,0,0
,31,1.37,0,0,0,3.73,1.68,1.76,0,0
,32,1.01,0,0,0,0,3.68,0,0,0
,33,0,0,0,0,0,0,0,0,0
,34,0,0,0,0,0,0,0,0,0
,35,0.51,0,0,0,0,1.86,0,0,0
,36,2.89,0,0,4.46,0,5.31,3.72,0,0
,37,1.02,0,0,0,0,1.88,1.96,0,0
,38,3.05,0,0,0,4.1,1.88,5.89,5.15,0
,39,4.32,0,0,0,7.56,5.3,5.58,0,5.85
,40,3.04,0,0,0,7.88,5.63,1.96,0,0
,41,4.04,0,10.98,0,7.88,0,3.92,0,18.24
,42,2.64,0,0,9.89,4.08,1.95,0,5.4,0
,43,4.82,0,0,0,7.5,7.42,5.5,4.78,0
,44,5.3,0,0,0,4.92,12.09,5.9,0,0
,45,1.99,0,0,4.62,0,1.91,3.8,0,0
,46,4.48,0,10.95,4.62,3.87,5.73,1.9,9.87,0
,47,1.49,0,10.91,0,0,0,3.8,0,0
,48,5.19,0,0,9.61,4,9.91,3.97,0,0
,49,7.91,0,0,4.94,8.17,12.25,10.04,0,6.13
,50,5.27,0,11.77,0,0,4.08,4.01,15.35,12.24
,51,6.61,0,0,0,6.1,10.05,7.45,6.24,7.38
,52,4.02,0,0,0,4.3,4.44,4.41,11.49,0
2014,1,4.67,0,0,0,4.02,11.9,1.98,5.15,0
,2,8.95,0,10.91,18.42,3.9,9.53,11.39,0,5.87
,3,10.55,0,23,4.87,12.35,10.05,12.13,5.22,12.72
,4,7.8,0,0,21.75,16.99,4.58,6.68,5.59,0
,5,6.73,0,12.46,0,0,15.1,6.44,5.43,0
,6,6.46,0,26.12,5.47,4.51,6.75,4.51,5.73,7
,7,5.65,0,0,5.21,4.35,10.77,2.18,5.57,6.84
,8,6.21,0,0,5.21,0,12.92,8.7,0,0
,9,8.57,0,0,16.97,4.66,16.26,7.1,0,0
,10,8.42,0,0,0,12.17,19.77,7.23,0,0
,11,10.11,0,0,5.47,4.55,15.8,13.82,11.79,0
,12,7.85,0,0,5.42,0,13.69,9.02,5.72,7.03
,13,3.61,0,0,5.63,0,4.64,6.94,0,0
,14,4.77,0,0,6.41,5.09,10.27,2.65,0,0
,15,3.55,0,0,0,0,7.94,2.81,0,8.68
,16,1.77,0,0,0,4.51,2.25,2.28,0,0
,17,1.13,0,0,0,0,2.15,2.17,0,0
,18,3.28,0,0,0,0,4.15,6.38,0,6.83
,19,3.06,0,13.1,0,0,2.31,4.8,6.12,0
,20,2.53,0,0,0,0,2.36,7.38,0,0
,21,2.87,0,0,0,4.29,6.62,0,0,7.11
,22,1.77,0,0,0,0,6.72,0,0,0
,23,2.25,0,0,0,0,6.44,2.16,0,0
,24,0.56,0,0,5.18,0,0,0,0,0
,25,0.8,0,0,0,0,0,3.1,0,0
,26,1.76,0,0,0,0,2.22,4.54,0,0
,27,2.51,0,0,0,0,2.4,7.28,0,0
,28,0,0,0,0,0,0,0,0,0
,29,0.63,0,0,0,0,2.41,0,0,0
,30,0.72,0,0,0,0,0,0,0,8.98
,31,0,0,0,0,0,0,0,0,0
,32,1.17,0,0,0,4.55,2.23,0,0,0
,33,0,0,0,0,0,0,0,0,0
,34,0,0,0,0,0,0,0,0,0
,35,1.29,0,0,0,0,0,0,6.25,7.71
,36,0,0,0,0,0,0,0,0,0
,37,1.94,0,0,0,0,2.5,4.99,0,0
,38,2.24,0,0,0,0,8.68,0,0,0
,39,0,0,0,0,0,0,0,0,0
,40,0.85,0,0,0,0,3.36,0,0,0
,41,3.41,0,0,0,15.47,0,3.16,0,9.97
,42,,,,,,,,,
,43,,,,,,,,,
,44,,,,,,,,,
,45,,,,,,,,,
,46,,,,,,,,,
,47,,,,,,,,,
,48,,,,,,,,,
,49,,,,,,,,,
,50,,,,,,,,,
,51,,,,,,,,,
,52,,,,,,,,,
